iter	MultiClass
0	1.468216246
1	1.352628959
2	1.269317923
3	1.206318308
4	1.148724908
5	1.101790262
6	1.062564699
7	1.027855362
8	0.9976735014
9	0.9717896422
10	0.9509927686
11	0.9289652874
12	0.9091551706
13	0.896437964
14	0.8815968552
15	0.869599371
16	0.8568572895
17	0.8461541455
18	0.8366319668
19	0.8279432695
20	0.8208603413
21	0.8153848604
22	0.8076543707
23	0.8008177542
24	0.7952896158
25	0.7901789455
26	0.7849045146
27	0.7809198953
28	0.7785858057
29	0.7745279048
30	0.7700058705
31	0.7681556263
32	0.7632270425
33	0.759803557
34	0.7576092309
35	0.7558264861
36	0.7521548811
37	0.7491331689
38	0.7479607764
39	0.7456414301
40	0.7419328789
41	0.7393834901
42	0.7384569851
43	0.7370316292
44	0.7349965195
45	0.7327846795
46	0.73053175
47	0.7289795194
48	0.7273090336
49	0.7258854986
50	0.7236780947
51	0.7214930552
52	0.7203949221
53	0.7187637595
54	0.7170770253
55	0.7161684186
56	0.7153576473
57	0.7137404119
58	0.7126564448
59	0.7111838352
60	0.7096370807
61	0.7083446589
62	0.7068586658
63	0.7057755503
64	0.7043665858
65	0.703596426
66	0.7025174656
67	0.7016213335
68	0.6999931552
69	0.6991871185
70	0.6981871398
71	0.6971550091
72	0.6962125285
73	0.6953348381
74	0.6950421209
75	0.6943151869
76	0.6931702625
77	0.6923671631
78	0.6910738935
79	0.6903229124
80	0.6892223771
81	0.6885170641
82	0.6875685299
83	0.6867547306
84	0.6858626359
85	0.6852153297
86	0.684443681
87	0.6839403685
88	0.6831226741
89	0.6822918222
90	0.6815028373
91	0.6811077508
92	0.6805590652
93	0.679799721
94	0.6792529477
95	0.6787456987
96	0.6783898891
97	0.6772453938
98	0.6765877917
99	0.6758135568
100	0.6748499448
101	0.6742946582
102	0.6738317952
103	0.6733952191
104	0.6726651257
105	0.6717892777
106	0.6714082826
107	0.6704798052
108	0.6699177057
109	0.6692189276
110	0.6684897166
111	0.668198616
112	0.6674465462
113	0.666851397
114	0.6664538936
115	0.6658217992
116	0.6650911394
117	0.6638298489
118	0.6634005858
119	0.6628817736
120	0.662026949
121	0.6615053766
122	0.6609432927
123	0.6603511313
124	0.6598294814
125	0.6595223986
