iter	Passed	Remaining
0	47	47408
1	67	33558
2	80	26857
3	91	22798
4	102	20403
5	113	18811
6	124	17660
7	136	16922
8	148	16377
9	161	15946
10	172	15494
11	184	15183
12	196	14902
13	209	14764
14	220	14462
15	232	14277
16	241	13992
17	252	13771
18	264	13659
19	276	13550
20	286	13350
21	296	13189
22	307	13066
23	316	12872
24	327	12761
25	337	12635
26	347	12526
27	358	12430
28	367	12294
29	377	12220
30	388	12140
31	399	12085
32	411	12044
33	423	12021
34	433	11944
35	443	11876
36	454	11824
37	464	11761
38	476	11735
39	485	11648
40	495	11598
41	506	11548
42	516	11486
43	526	11428
44	535	11373
45	548	11375
46	559	11338
47	568	11267
48	577	11207
49	588	11179
50	599	11147
51	609	11115
52	620	11085
53	630	11053
54	641	11022
55	651	10989
56	661	10950
57	673	10933
58	683	10907
59	694	10884
60	706	10871
61	716	10833
62	725	10797
63	736	10770
64	746	10742
65	757	10716
66	767	10693
67	777	10661
68	789	10656
69	799	10628
70	810	10603
71	821	10585
72	830	10551
73	840	10516
74	852	10508
75	861	10469
76	871	10442
77	881	10420
78	892	10402
79	903	10388
80	913	10362
81	923	10333
82	933	10315
83	944	10300
84	955	10286
85	966	10267
86	976	10246
87	985	10218
88	997	10207
89	1010	10214
90	1021	10205
91	1033	10198
92	1044	10187
93	1055	10172
94	1066	10158
95	1076	10141
96	1087	10119
97	1098	10109
98	1108	10088
99	1119	10074
100	1129	10054
101	1139	10027
102	1149	10011
103	1160	9999
104	1170	9974
105	1180	9955
106	1191	9944
107	1202	9930
108	1212	9913
109	1223	9896
110	1233	9879
111	1243	9860
112	1253	9838
113	1264	9825
114	1275	9814
115	1285	9792
116	1295	9779
117	1306	9766
118	1317	9751
119	1328	9745
120	1339	9729
121	1349	9709
122	1360	9699
123	1370	9682
124	1379	9657
125	1389	9636
126	1399	9618
127	1408	9598
128	1418	9578
129	1428	9562
130	1439	9551
131	1450	9538
132	1462	9531
133	1472	9513
134	1481	9493
135	1491	9476
136	1501	9456
137	1512	9447
138	1524	9445
139	1535	9430
140	1546	9419
141	1556	9403
