iter	MultiClass
0	3.644216978
1	3.606151218
2	3.562031026
3	3.518775523
4	3.48205288
5	3.434441154
6	3.39793268
7	3.364599252
8	3.326704266
9	3.272427935
10	3.236974945
11	3.199896407
12	3.162991836
13	3.122110597
14	3.086587591
15	3.044582999
16	3.003993155
17	2.967025275
18	2.925645022
19	2.888918591
20	2.847382477
21	2.810487659
22	2.766688552
23	2.7353238
24	2.698712541
25	2.664791731
26	2.62794529
27	2.595541015
28	2.562647935
29	2.53084492
30	2.486854027
31	2.451269195
32	2.41931093
33	2.389714852
34	2.353913042
35	2.319806683
36	2.284992563
37	2.255258803
38	2.223187516
39	2.196835191
40	2.167240553
41	2.148083692
42	2.114142582
43	2.082879557
44	2.054797365
45	2.022783435
46	1.990800519
47	1.961092354
48	1.930054378
49	1.903819547
50	1.880040445
51	1.854524337
52	1.829130729
53	1.803498468
54	1.778437039
55	1.749173478
56	1.723688786
57	1.695903107
58	1.671131911
59	1.65021418
60	1.625828248
61	1.602737821
62	1.579438453
63	1.555551572
64	1.534306026
65	1.514558668
66	1.493543102
67	1.473337324
68	1.456095627
69	1.434916441
70	1.412755741
71	1.39530894
72	1.374393156
73	1.354094499
74	1.335055651
75	1.317364783
76	1.29957856
77	1.28057099
78	1.264681858
79	1.246075014
80	1.23046162
81	1.20951944
82	1.193116726
83	1.176676904
84	1.159985897
85	1.144621082
86	1.129051928
87	1.117641504
88	1.101956142
89	1.086447946
90	1.070800202
91	1.055018753
92	1.036867921
93	1.022211408
94	1.009258228
95	0.9922168291
96	0.9823393239
97	0.9747960181
98	0.9652695512
99	0.951773012
100	0.9387252161
101	0.9283381914
102	0.9196767714
103	0.9137738833
104	0.9071255787
105	0.8999583685
106	0.8905295079
107	0.8789519824
108	0.8715595543
109	0.8671352376
110	0.8555482537
111	0.8413099013
112	0.8310403324
113	0.826421687
114	0.8211507231
115	0.8151201138
116	0.8078506692
117	0.7969921436
118	0.7941456492
119	0.7872826024
120	0.7817813759
121	0.7772355054
122	0.7687897571
123	0.7647520123
124	0.7546704393
125	0.7437203994
126	0.7362299846
127	0.7324235625
128	0.722266193
129	0.7195702929
130	0.7093478442
131	0.7069111634
132	0.7035487198
133	0.7005699094
134	0.6959934707
135	0.6921910434
136	0.6896585622
137	0.6820019725
138	0.6733287308
139	0.6667304057
140	0.6597625844
141	0.6503881103
142	0.6451732034
143	0.638749403
144	0.6357877544
145	0.627089967
146	0.6247146362
147	0.6214275853
148	0.6154540762
149	0.6112113655
150	0.6076930527
151	0.6014012388
152	0.5992280353
153	0.5971979272
154	0.5935971364
155	0.5860021968
156	0.5840897177
157	0.5806778598
158	0.5787426718
159	0.5742314615
160	0.5724030158
161	0.5693356374
162	0.5671365888
163	0.5601704307
164	0.5543053926
165	0.5527229589
166	0.5509843272
167	0.5456891003
168	0.5439208083
169	0.5376072313
170	0.5344045023
171	0.528629684
172	0.5274907052
173	0.5213264955
174	0.5194027011
175	0.5139246654
176	0.5124342869
177	0.5096799381
178	0.5075306709
179	0.505629722
180	0.4992083168
181	0.4927937612
182	0.4894042564
183	0.4844800145
184	0.4806614249
185	0.4747363186
186	0.4697863666
187	0.464463305
188	0.4586134023
189	0.4533909996
190	0.4488147693
191	0.4439853432
192	0.4428982464
193	0.4416400897
194	0.4405097773
195	0.4348498716
196	0.4331498447
197	0.4293651341
198	0.4275080157
199	0.4261193541
200	0.4214673146
201	0.4160019116
202	0.4142689865
203	0.4098372016
204	0.4069393776
205	0.4061389504
206	0.4033076375
207	0.4000492188
208	0.3977977876
209	0.3928731042
210	0.3908005999
211	0.3869425284
212	0.3855651003
213	0.3851924343
214	0.384431875
215	0.3809860897
216	0.3796267586
217	0.3771837713
218	0.3747610336
219	0.3737709076
220	0.370542173
221	0.3700357039
222	0.3686926332
223	0.3652833964
224	0.3643523146
225	0.3632233463
226	0.360330785
227	0.3567456242
228	0.3556695365
229	0.3537105443
230	0.3511322929
231	0.3470708326
232	0.3442829388
233	0.3432749667
234	0.3426507357
235	0.3418816455
236	0.338874687
237	0.3378423657
238	0.3352177405
239	0.3346163642
240	0.3339440311
241	0.3308024058
242	0.3299216134
243	0.3282624905
244	0.3272599374
245	0.3234700227
246	0.3215012609
247	0.3192249049
248	0.317504368
249	0.3167628106
250	0.3160465646
251	0.3127689981
252	0.3105365621
253	0.3077211927
254	0.3050806837
255	0.3029720547
256	0.300180844
257	0.2994187609
258	0.2975138076
259	0.2946977936
260	0.294165678
261	0.2938176044
262	0.2918750101
263	0.2910656705
264	0.2904729841
265	0.289352035
266	0.2883601831
267	0.28791556
268	0.2873103412
269	0.2844901392
270	0.2827539547
271	0.280852359
272	0.2804049481
273	0.2776207066
274	0.275274581
275	0.2735641197
276	0.2715516299
277	0.2710954886
278	0.270808871
279	0.2696599775
280	0.2679529348
281	0.2655020963
