iter	Passed	Remaining
0	7427	7419604
1	14573	7272019
2	21716	7217013
3	28843	7182008
4	36019	7167811
5	43188	7154972
6	50336	7140537
7	57472	7126607
8	64620	7115442
9	71841	7112266
10	78997	7102630
11	86181	7095590
12	93349	7087385
13	100539	7080849
14	107686	7071399
15	114881	7065202
16	122052	7057531
17	129403	7059669
18	136713	7058758
19	144480	7079549
20	152432	7106272
21	159941	7110131
22	167428	7112058
23	174447	7094212
24	181540	7080095
25	188620	7066004
26	195659	7050996
27	202765	7038875
28	209831	7025733
29	217017	7016886
30	224157	7006740
31	231361	6998695
32	238499	6988759
33	245655	6979518
34	252833	6970970
35	259968	6961367
36	267100	6951838
37	274227	6942294
38	281383	6933573
39	288495	6923892
40	295627	6914797
41	302788	6906470
42	309969	6898614
43	317091	6889543
44	324250	6881323
45	331401	6872968
46	339372	6881325
47	346568	6873617
48	353774	6866107
49	361000	6859006
50	368240	6852157
51	375456	6844866
52	382659	6837331
53	389870	6829951
54	397114	6823155
55	404323	6815743
56	411546	6808559
57	418747	6801029
58	425934	6793287
59	433150	6786023
60	440353	6778561
61	447582	6771489
62	454824	6764618
63	462054	6757549
64	469234	6749756
65	476420	6742070
66	483650	6735007
67	490861	6727687
68	498047	6720035
69	505310	6713404
70	512513	6705989
71	519719	6698602
72	526937	6691380
73	534144	6684025
74	541330	6676414
75	548616	6670027
76	555872	6663248
77	563088	6655991
78	570352	6649298
79	577521	6641497
80	584648	6633236
81	591776	6625009
82	598919	6616975
83	606060	6608943
84	613209	6601018
85	620360	6593134
86	627471	6584846
87	634652	6577310
88	641835	6569802
89	649003	6562149
90	656320	6555997
91	663504	6548496
92	670756	6541681
93	677946	6534247
94	685117	6526648
95	692333	6519473
96	699611	6512882
97	706774	6505212
98	713938	6497563
99	721132	6490195
100	728334	6482898
101	735512	6475393
102	742628	6467354
103	749770	6459564
104	756958	6452169
105	764111	6444489
106	771280	6436949
107	778450	6429423
108	785625	6421948
109	792760	6414150
110	799935	6406691
111	807121	6399317
112	814315	6392012
113	821513	6384743
114	828674	6377187
115	835830	6369606
116	842914	6361482
117	850046	6353737
118	857156	6345838
119	864234	6337716
120	871330	6329747
121	878423	6321772
122	885546	6314021
123	892651	6306153
124	899764	6298350
125	906885	6290616
126	913968	6282633
127	921034	6274545
128	928170	6266949
129	935268	6259102
130	942426	6251668
131	949509	6243745
132	956591	6235825
133	963691	6228037
134	970800	6220315
135	977883	6212434
136	984983	6204679
137	992060	6196783
138	999154	6189007
139	1006314	6181645
140	1013415	6173926
141	1020567	6166530
142	1027740	6159258
143	1034840	6151551
144	1041916	6143713
145	1049030	6136112
146	1056114	6128337
147	1063228	6120746
148	1070399	6113491
149	1077491	6105786
150	1084592	6098137
151	1091711	6090602
152	1098808	6082945
153	1105909	6075322
154	1112989	6067590
155	1120154	6060322
156	1127251	6052692
157	1134330	6044976
158	1141439	6037427
159	1148561	6029946
160	1155679	6022455
161	1162787	6014912
162	1169920	6007503
163	1177097	6000328
164	1184197	5992754
165	1191287	5985144
166	1198395	5977623
167	1205484	5970020
168	1212592	5962511
169	1219694	5954977
170	1226815	5947546
171	1233918	5940028
172	1241041	5932606
173	1248172	5925234
174	1255263	5917669
175	1262366	5910172
176	1269478	5902716
177	1276594	5895283
178	1283975	5889071
179	1292446	5887812
180	1300325	5883795
181	1307881	5878282
182	1315107	5871270
183	1322315	5864181
184	1329517	5857063
185	1336698	5849852
186	1343882	5842653
187	1351082	5835526
188	1358279	5828383
189	1365644	5821956
190	1373175	5816226
191	1380648	5810230
192	1387802	5802885
193	1394863	5795152
194	1401981	5787667
195	1409060	5780023
196	1416134	5772365
197	1423215	5764741
198	1430300	5757141
199	1437365	5749462
200	1444461	5741916
201	1451597	5734529
202	1458679	5726934
203	1465817	5719560
204	1473157	5712976
205	1480192	5705208
206	1487234	5697471
207	1494247	5689633
208	1501291	5681920
209	1508407	5674483
210	1515469	5666849
211	1522632	5659594
212	1529713	5652039
213	1536782	5644444
214	1543849	5636845
215	1550957	5629401
216	1558017	5621788
217	1565093	5614232
218	1572149	5606616
219	1579202	5598991
220	1586412	5591922
221	1593483	5584371
222	1600533	5576746
223	1607559	5569043
224	1614574	5561311
225	1621591	5553590
226	1628638	5545979
227	1635710	5538459
228	1642694	5530642
229	1649790	5523212
230	1656754	5515343
231	1663789	5507717
232	1670811	5500054
233	1677834	5492398
234	1684864	5484772
235	1691882	5477111
236	1698917	5469510
237	1705989	5462035
238	1713002	5454371
239	1720000	5446667
240	1727004	5438990
241	1734015	5431338
242	1741029	5423702
243	1748065	5416136
244	1755068	5408476
245	1762106	5400927
246	1769154	5393415
247	1776201	5385900
248	1783216	5378295
249	1790217	5370653
250	1797240	5363079
251	1804298	5355614
252	1811317	5348041
253	1818368	5340563
254	1825392	5333010
255	1832467	5325609
256	1839482	5318036
257	1846506	5310494
258	1853512	5302907
259	1860542	5295391
260	1867548	5287810
261	1874579	5280305
262	1881598	5272767
263	1888686	5265427
264	1895693	5257867
265	1902696	5250297
266	1909692	5242713
267	1916697	5235158
268	1923697	5227593
269	1930731	5220126
270	1937758	5212640
271	1944779	5205143
272	1951816	5197694
273	1958846	5190228
274	1965861	5182726
275	1972875	5175223
276	1979906	5167770
277	1986965	5160392
278	1993937	5152791
279	2001147	5145807
280	2008683	5139656
281	2016165	5133358
